
                        Type,                        Slot,                        BlockTime Unix,                        BlockTime,                        Fee (SOL),                        Is Inner,                         TxHash,                        Source Owner Account,                        Source Token Account,                        Dest Owner Account,                        Dest Token Account,                        Amount,                        Symbol,                        Decimals,                        TokenAddress

                    spl-transfer,265697099,1715674921,2024-05-14T08:22:01,5005,true,4dgkieCA58rHDL749oBqCj83fU1gvoWW3q9qkLZ2J7HhA6uL9bMpw79GgoGFAJ8Q4bdaW6AFxcJQRBxMEU414tnR,EvHgEdTf2rb5zdEi4LXtZFJwf51BwUKQipxoAKezvKjY,8dcMSCkpD6eqxxstThXs94v9jxcFJQ1679GLy9Z1R6hX,3buQpAuJcZjRte62Gwg62WLKPA5K5c7MPx5NRD9x3jZ1,FAQ4Epjm6N2RVdN6MzWS2JnR2NDEEC9XRZHuqPjJaDZQ,168264977,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697099,1715674921,2024-05-14T08:22:01,5005,true,4dgkieCA58rHDL749oBqCj83fU1gvoWW3q9qkLZ2J7HhA6uL9bMpw79GgoGFAJ8Q4bdaW6AFxcJQRBxMEU414tnR,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,J5uHNPFcPNwJ82MoDLfee9YJm33NQyJdqpobkiUhVvjW,EvHgEdTf2rb5zdEi4LXtZFJwf51BwUKQipxoAKezvKjY,8dcMSCkpD6eqxxstThXs94v9jxcFJQ1679GLy9Z1R6hX,168264977,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697092,1715674918,2024-05-14T08:21:58,15300,true,3ESM3R4JYYnxXFaKyG3FGSwaWuKuM2TV3KxB3QmP38qBwKQWQDzxWrfV3CVvJyy81K8beYkbhmjJDJUmciKLJSMd,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,J5uHNPFcPNwJ82MoDLfee9YJm33NQyJdqpobkiUhVvjW,TyrZ6SDVQGdMpnYtAgKGocvi1w1mdffhZENf1knyeqy,7abvxXjDZYwvsNyf3n6NbwzcVQLturNLuWEV1NxakvK5,1005156473,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697092,1715674918,2024-05-14T08:21:58,15300,true,3ESM3R4JYYnxXFaKyG3FGSwaWuKuM2TV3KxB3QmP38qBwKQWQDzxWrfV3CVvJyy81K8beYkbhmjJDJUmciKLJSMd,TyrZ6SDVQGdMpnYtAgKGocvi1w1mdffhZENf1knyeqy,7abvxXjDZYwvsNyf3n6NbwzcVQLturNLuWEV1NxakvK5,FNWR2pTveKjXLwAADwMLnfPQbuPFBd94S5nccxbskSiC,HWFkUtdzBeKZe81RL28dy4TU8ncHFkFBbJ8eRE2VQ7sG,1005156473,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697092,1715674918,2024-05-14T08:21:58,9003,true,4FwBMz6NfEKgy3ZRxjS2wo4q6AKENr9xUj5JctMXLwneywxLEqKweWaH9Gs9xJ8Q9UjbycGn1z9sHL8YW4nBeUBq,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,J5uHNPFcPNwJ82MoDLfee9YJm33NQyJdqpobkiUhVvjW,GX9nfVpdZ9eHpcPTDCCf5zaJr9MoVQNGpAywYMuTtGvU,Hc73sUn5cCmpvWeuFd4E1D7B1ESZDAiX92HH3obgGMTf,236863486,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697092,1715674918,2024-05-14T08:21:58,9003,true,4FwBMz6NfEKgy3ZRxjS2wo4q6AKENr9xUj5JctMXLwneywxLEqKweWaH9Gs9xJ8Q9UjbycGn1z9sHL8YW4nBeUBq,GX9nfVpdZ9eHpcPTDCCf5zaJr9MoVQNGpAywYMuTtGvU,Hc73sUn5cCmpvWeuFd4E1D7B1ESZDAiX92HH3obgGMTf,FNWR2pTveKjXLwAADwMLnfPQbuPFBd94S5nccxbskSiC,HWFkUtdzBeKZe81RL28dy4TU8ncHFkFBbJ8eRE2VQ7sG,236863486,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697091,1715674917,2024-05-14T08:21:57,5500,true,qpNYrzUt7joiJv9qc9uC28kAwWEPeLkZAS31Kp11v3WDKZoSwkHqiUJjXJ3MaSua4ZpiKPWTNGGe6m1Pui4KVx8,9sK4yWm3SJhuUAqyjrck8qX89XPeHhkPnrfnc8TR3Vsp,AmRK4BXZnNQFxoVLYPVRNNhKU96fj1xq6zTQudcYKKD8,FNWR2pTveKjXLwAADwMLnfPQbuPFBd94S5nccxbskSiC,HWFkUtdzBeKZe81RL28dy4TU8ncHFkFBbJ8eRE2VQ7sG,294920422,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697091,1715674917,2024-05-14T08:21:57,5500,true,qpNYrzUt7joiJv9qc9uC28kAwWEPeLkZAS31Kp11v3WDKZoSwkHqiUJjXJ3MaSua4ZpiKPWTNGGe6m1Pui4KVx8,CBHmGGyCpUQuSfD3KhJEzzpBXphAtcznD57C3aWPvhpR,C1jn6uXqwHZGF1TG8EShgcPH6jrAF1qho9YhPBKiSavG,9sK4yWm3SJhuUAqyjrck8qX89XPeHhkPnrfnc8TR3Vsp,AmRK4BXZnNQFxoVLYPVRNNhKU96fj1xq6zTQudcYKKD8,294920422,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697090,1715674917,2024-05-14T08:21:57,5188,true,4FNWL25t7Mu4LVfkTJYmL9dzv6LW8xQUsH661CFhcUrq5W9B2Hy5Ui8ttqc8HihwPidLKg8y1yjQCbyfD1vAVjPD,AgBiB9AorgWcyVCiTdWvwt4UQDfFJUJgUrqib3sp88Td,A34arofb1TJBXbaHLGghBDjjZgFS3gasf8f26cjXw1h4,FNWR2pTveKjXLwAADwMLnfPQbuPFBd94S5nccxbskSiC,HWFkUtdzBeKZe81RL28dy4TU8ncHFkFBbJ8eRE2VQ7sG,29501876,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697090,1715674917,2024-05-14T08:21:57,5188,true,4FNWL25t7Mu4LVfkTJYmL9dzv6LW8xQUsH661CFhcUrq5W9B2Hy5Ui8ttqc8HihwPidLKg8y1yjQCbyfD1vAVjPD,CBHmGGyCpUQuSfD3KhJEzzpBXphAtcznD57C3aWPvhpR,C1jn6uXqwHZGF1TG8EShgcPH6jrAF1qho9YhPBKiSavG,AgBiB9AorgWcyVCiTdWvwt4UQDfFJUJgUrqib3sp88Td,A34arofb1TJBXbaHLGghBDjjZgFS3gasf8f26cjXw1h4,29501876,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
spl-transfer,265697086,1715674916,2024-05-14T08:21:56,5188,true,3EwrG2oKHnbJJnmCYPtZLvRuHbP58gkSuxgXZaa7sJm6vyEBvXbsd76TijdMFKvcHcFAUUkRMzjse4gacygRuUk3,AgBiB9AorgWcyVCiTdWvwt4UQDfFJUJgUrqib3sp88Td,A34arofb1TJBXbaHLGghBDjjZgFS3gasf8f26cjXw1h4,FNWR2pTveKjXLwAADwMLnfPQbuPFBd94S5nccxbskSiC,HWFkUtdzBeKZe81RL28dy4TU8ncHFkFBbJ8eRE2VQ7sG,59003752,mini,6,2JcXacFwt9mVAwBQ5nZkYwCyXQkRcdsYrDXn6hj22SbP
